Age,Gender,Category,Purchase Amount (USD),Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Frequency of Purchases,Age Group
55,1,Clothing,53,Winter,3.1,1,1,14,Fortnightly,56–65
19,1,Clothing,64,Winter,3.1,1,1,2,Fortnightly,18–25
50,1,Clothing,73,Spring,3.1,1,1,23,Weekly,46–55
21,1,Footwear,90,Spring,3.5,1,1,49,Weekly,18–25
45,1,Clothing,49,Spring,2.7,1,1,31,Annually,46–55
46,1,Footwear,20,Summer,2.9,1,1,14,Weekly,46–55
63,1,Clothing,85,Fall,3.2,1,1,49,Quarterly,56–65
27,1,Clothing,34,Winter,3.2,1,1,19,Weekly,26–35
26,1,Outerwear,97,Summer,2.6,1,1,8,Annually,26–35
57,1,Accessories,31,Spring,4.8,1,1,4,Quarterly,56–65
53,1,Footwear,34,Fall,4.1,1,1,26,Bi-Weekly,46–55
30,1,Clothing,68,Winter,4.9,1,1,10,Fortnightly,26–35
61,1,Outerwear,72,Winter,4.5,1,1,37,Fortnightly,56–65
65,1,Clothing,51,Spring,4.7,1,1,31,Weekly,65+
64,1,Outerwear,53,Winter,4.7,1,1,34,Weekly,56–65
64,1,Clothing,81,Winter,2.8,1,1,8,Monthly,56–65
25,1,Accessories,36,Spring,4.1,1,1,44,Bi-Weekly,26–35
53,1,Clothing,38,Winter,4.7,1,1,36,Quarterly,46–55
52,1,Clothing,48,Summer,4.6,1,1,17,Weekly,46–55
66,1,Clothing,90,Summer,3.3,1,1,46,Bi-Weekly,65+
21,1,Clothing,51,Winter,2.8,1,1,50,Every 3 Months,18–25
31,1,Clothing,62,Winter,4.1,1,1,22,Quarterly,26–35
56,1,Clothing,37,Summer,3.2,1,1,32,Annually,56–65
31,1,Clothing,88,Winter,4.4,1,1,40,Weekly,26–35
18,1,Outerwear,22,Fall,2.9,1,1,16,Weekly,18–25
18,1,Clothing,25,Summer,3.6,1,1,14,Annually,18–25
38,1,Accessories,20,Spring,3.6,1,1,13,Annually,36–45
56,1,Clothing,56,Summer,5.0,1,1,7,Every 3 Months,56–65
54,1,Accessories,94,Fall,4.4,1,1,41,Every 3 Months,46–55
31,1,Clothing,48,Fall,4.1,1,1,14,Weekly,26–35
57,1,Accessories,31,Winter,4.7,1,1,16,Monthly,56–65
33,1,Clothing,79,Winter,4.7,1,1,45,Monthly,26–35
36,1,Outerwear,67,Summer,4.9,1,1,37,Annually,36–45
54,1,Clothing,38,Summer,3.3,1,1,45,Quarterly,46–55
36,1,Clothing,91,Spring,4.6,1,1,38,Quarterly,36–45
54,1,Clothing,33,Summer,4.0,1,1,48,Bi-Weekly,46–55
35,1,Clothing,69,Winter,4.6,1,1,44,Fortnightly,36–45
35,1,Clothing,45,Summer,2.8,1,1,10,Weekly,36–45
29,1,Clothing,37,Winter,3.7,1,1,44,Every 3 Months,26–35
70,1,Clothing,60,Summer,4.2,1,1,18,Monthly,65+
69,1,Accessories,76,Winter,4.6,1,1,31,Quarterly,65+
67,1,Accessories,39,Spring,4.5,1,1,40,Annually,65+
20,1,Outerwear,100,Spring,4.1,1,1,15,Annually,18–25
25,1,Accessories,69,Fall,3.7,1,1,19,Fortnightly,26–35
39,1,Accessories,53,Summer,4.6,1,1,45,Weekly,36–45
50,1,Clothing,21,Fall,2.9,1,1,25,Annually,46–55
57,1,Clothing,43,Summer,2.9,1,1,45,Quarterly,56–65
55,1,Accessories,54,Winter,4.5,1,1,36,Weekly,56–65
42,1,Clothing,55,Summer,2.7,1,1,38,Monthly,36–45
68,1,Clothing,30,Spring,4.6,1,1,34,Bi-Weekly,65+
49,1,Clothing,28,Spring,3.7,1,1,39,Bi-Weekly,46–55
59,1,Clothing,59,Winter,4.7,1,1,7,Quarterly,56–65
42,1,Clothing,20,Summer,2.6,1,1,26,Weekly,36–45
29,1,Clothing,24,Winter,3.9,1,1,35,Weekly,26–35
47,1,Outerwear,94,Summer,4.2,1,1,35,Bi-Weekly,46–55
40,1,Outerwear,28,Winter,3.0,1,1,49,Annually,36–45
41,1,Accessories,73,Summer,4.7,1,1,46,Weekly,36–45
21,1,Outerwear,64,Summer,4.4,1,1,17,Fortnightly,18–25
69,1,Clothing,54,Summer,4.2,1,1,29,Monthly,65+
63,1,Accessories,79,Spring,4.6,1,1,4,Weekly,56–65
50,1,Clothing,37,Summer,4.0,1,1,17,Weekly,46–55
55,1,Accessories,68,Winter,4.7,1,1,21,Every 3 Months,56–65
30,1,Footwear,21,Spring,3.8,1,1,31,Fortnightly,26–35
33,1,Accessories,79,Winter,2.7,1,1,43,Weekly,26–35
65,1,Footwear,83,Fall,4.8,1,1,18,Fortnightly,65+
65,1,Accessories,36,Spring,4.8,1,1,44,Every 3 Months,65+
31,1,Clothing,94,Winter,4.7,1,1,3,Every 3 Months,26–35
45,1,Outerwear,33,Winter,4.4,1,1,49,Monthly,46–55
57,1,Accessories,46,Summer,3.9,1,1,21,Every 3 Months,56–65
48,1,Accessories,70,Summer,4.4,1,1,5,Weekly,46–55
22,1,Accessories,29,Fall,4.2,1,1,32,Every 3 Months,18–25
36,1,Clothing,48,Summer,2.9,1,1,34,Annually,36–45
18,1,Clothing,26,Winter,2.9,1,1,21,Every 3 Months,18–25
48,1,Clothing,85,Spring,2.7,1,1,43,Bi-Weekly,46–55
49,1,Accessories,58,Spring,4.5,1,1,3,Monthly,46–55
64,1,Accessories,85,Summer,2.7,1,1,21,Annually,56–65
50,1,Accessories,43,Summer,4.2,1,1,32,Monthly,46–55
22,1,Clothing,53,Summer,3.3,1,1,36,Fortnightly,18–25
50,1,Clothing,91,Spring,4.7,1,1,50,Fortnightly,46–55
38,1,Outerwear,96,Winter,2.6,1,1,43,Every 3 Months,36–45
19,1,Footwear,72,Summer,3.3,1,1,24,Every 3 Months,18–25
67,1,Footwear,96,Summer,2.6,1,1,36,Every 3 Months,65+
19,1,Clothing,28,Spring,4.0,1,1,21,Every 3 Months,18–25
36,1,Clothing,40,Summer,4.1,1,1,34,Weekly,36–45
52,1,Outerwear,32,Spring,4.4,1,1,42,Every 3 Months,46–55
53,1,Accessories,95,Winter,4.5,1,1,2,Bi-Weekly,46–55
24,1,Clothing,41,Spring,3.7,1,1,47,Bi-Weekly,18–25
52,1,Footwear,53,Fall,3.7,1,1,44,Fortnightly,46–55
33,1,Clothing,47,Fall,3.5,1,1,35,Monthly,26–35
47,1,Outerwear,83,Fall,3.6,1,1,15,Quarterly,46–55
25,1,Accessories,48,Summer,2.9,1,1,29,Monthly,26–35
44,1,Accessories,99,Winter,4.6,1,1,18,Every 3 Months,36–45
61,1,Outerwear,87,Winter,4.4,1,1,13,Every 3 Months,56–65
37,1,Clothing,62,Fall,4.5,1,1,46,Weekly,36–45
58,1,Clothing,76,Spring,4.6,1,1,28,Weekly,56–65
37,1,Footwear,100,Fall,3.8,1,1,48,Monthly,36–45
32,1,Accessories,73,Spring,3.6,1,1,43,Every 3 Months,26–35
21,1,Footwear,92,Winter,4.8,1,1,37,Annually,18–25
20,1,Clothing,67,Spring,2.6,1,1,20,Annually,18–25
26,1,Clothing,40,Summer,3.7,1,1,33,Quarterly,26–35
62,1,Accessories,98,Fall,2.7,1,1,31,Fortnightly,56–65
27,1,Outerwear,85,Spring,4.6,1,1,50,Bi-Weekly,26–35
51,1,Clothing,67,Winter,4.8,1,1,35,Quarterly,46–55
54,1,Footwear,89,Winter,4.0,1,1,22,Bi-Weekly,46–55
55,1,Accessories,24,Spring,4.4,1,1,1,Monthly,56–65
69,1,Accessories,96,Fall,3.6,1,1,4,Annually,65+
64,1,Outerwear,35,Summer,3.7,1,1,31,Monthly,56–65
28,1,Footwear,67,Winter,3.1,1,1,46,Fortnightly,26–35
70,1,Clothing,79,Spring,3.4,1,1,32,Bi-Weekly,65+
58,1,Clothing,85,Spring,2.6,1,1,43,Fortnightly,56–65
56,1,Accessories,26,Summer,4.0,1,1,26,Fortnightly,56–65
26,1,Accessories,75,Summer,5.0,1,1,9,Annually,26–35
37,1,Accessories,65,Spring,4.3,1,1,28,Bi-Weekly,36–45
44,1,Accessories,54,Winter,3.1,1,1,20,Quarterly,36–45
70,1,Outerwear,95,Summer,3.7,1,1,9,Weekly,65+
53,1,Clothing,94,Spring,3.8,1,1,48,Every 3 Months,46–55
55,1,Footwear,86,Spring,3.4,1,1,12,Annually,56–65
50,1,Footwear,32,Summer,4.6,1,1,29,Fortnightly,46–55
50,1,Clothing,45,Fall,4.8,1,1,27,Bi-Weekly,46–55
38,1,Outerwear,76,Fall,4.3,1,1,44,Annually,36–45
64,1,Accessories,84,Summer,4.0,1,1,32,Annually,56–65
19,1,Clothing,72,Winter,4.2,1,1,11,Fortnightly,18–25
40,1,Accessories,40,Spring,4.8,1,1,44,Fortnightly,36–45
57,1,Clothing,89,Fall,3.1,1,1,46,Weekly,56–65
44,1,Clothing,86,Spring,3.1,1,1,50,Annually,36–45
49,1,Clothing,54,Winter,3.6,1,1,45,Every 3 Months,46–55
43,1,Clothing,36,Spring,3.9,1,1,48,Every 3 Months,36–45
24,1,Clothing,89,Winter,4.8,1,1,26,Weekly,18–25
20,1,Accessories,32,Spring,4.7,1,1,21,Fortnightly,18–25
24,1,Clothing,67,Summer,4.2,1,1,49,Bi-Weekly,18–25
44,1,Accessories,39,Fall,3.7,1,1,13,Fortnightly,36–45
28,1,Clothing,29,Summer,3.9,1,1,46,Weekly,26–35
30,1,Accessories,58,Fall,4.7,1,1,42,Weekly,26–35
52,1,Clothing,65,Winter,2.5,1,1,25,Annually,46–55
43,1,Accessories,94,Fall,4.9,1,1,25,Monthly,36–45
43,1,Footwear,81,Fall,4.1,1,1,12,Quarterly,36–45
39,1,Clothing,86,Winter,3.3,1,1,4,Quarterly,36–45
68,1,Footwear,43,Spring,4.7,1,1,38,Weekly,65+
68,1,Clothing,29,Winter,4.4,1,1,42,Weekly,65+
49,1,Outerwear,95,Fall,3.8,1,1,30,Annually,46–55
63,1,Clothing,28,Fall,3.9,1,1,50,Weekly,56–65
56,1,Accessories,46,Fall,4.9,1,1,45,Weekly,56–65
37,1,Outerwear,58,Fall,3.1,1,1,33,Fortnightly,36–45
30,1,Outerwear,48,Fall,2.7,1,1,25,Quarterly,26–35
19,1,Footwear,43,Fall,3.2,1,1,25,Monthly,18–25
24,1,Accessories,95,Fall,4.5,1,1,44,Quarterly,18–25
52,1,Clothing,30,Fall,4.0,1,1,21,Fortnightly,46–55
63,1,Footwear,64,Summer,3.5,1,1,31,Fortnightly,56–65
37,1,Accessories,90,Fall,2.6,1,1,47,Annually,36–45
38,1,Clothing,76,Summer,3.2,1,1,14,Monthly,36–45
35,1,Footwear,96,Fall,4.9,1,1,17,Every 3 Months,36–45
28,1,Accessories,47,Fall,4.5,1,1,3,Annually,26–35
30,1,Clothing,85,Summer,4.3,1,1,42,Annually,26–35
69,1,Clothing,55,Winter,3.2,1,1,22,Annually,65+
41,1,Clothing,98,Fall,3.6,1,1,21,Quarterly,36–45
63,1,Clothing,77,Spring,4.3,1,1,21,Quarterly,56–65
35,1,Clothing,26,Fall,4.0,1,1,40,Annually,36–45
36,1,Accessories,68,Fall,3.0,1,1,1,Fortnightly,36–45
25,1,Clothing,73,Fall,4.1,1,1,50,Monthly,26–35
58,1,Accessories,27,Fall,3.8,1,1,39,Every 3 Months,56–65
27,1,Accessories,23,Summer,4.6,1,1,34,Monthly,26–35
65,1,Accessories,49,Fall,3.0,1,1,29,Fortnightly,65+
54,1,Accessories,74,Summer,3.0,1,1,31,Bi-Weekly,46–55
54,1,Clothing,67,Summer,3.4,1,1,8,Weekly,46–55
59,1,Accessories,65,Spring,2.6,1,1,5,Fortnightly,56–65
42,1,Accessories,60,Winter,2.8,1,1,7,Monthly,36–45
46,1,Footwear,31,Fall,4.0,1,1,30,Monthly,46–55
33,1,Accessories,27,Fall,4.0,1,1,14,Every 3 Months,26–35
34,1,Footwear,80,Summer,3.0,1,1,5,Fortnightly,26–35
27,1,Outerwear,30,Summer,3.3,1,1,3,Every 3 Months,26–35
52,1,Clothing,25,Fall,2.6,1,1,46,Bi-Weekly,46–55
29,1,Clothing,35,Summer,3.6,1,1,4,Weekly,26–35
54,1,Accessories,67,Summer,3.9,1,1,42,Bi-Weekly,46–55
25,1,Accessories,46,Fall,3.4,1,1,30,Annually,26–35
41,1,Footwear,35,Winter,3.5,1,1,37,Annually,36–45
53,1,Outerwear,86,Fall,2.8,1,1,2,Annually,46–55
53,1,Accessories,81,Spring,2.7,1,1,30,Quarterly,46–55
21,1,Clothing,42,Fall,3.7,1,1,47,Monthly,18–25
61,1,Clothing,43,Fall,4.3,1,1,21,Quarterly,56–65
64,1,Footwear,31,Fall,4.9,1,1,9,Fortnightly,56–65
51,1,Footwear,81,Fall,3.3,1,1,12,Fortnightly,46–55
32,1,Clothing,61,Summer,4.7,1,1,4,Weekly,26–35
38,1,Accessories,96,Summer,2.8,1,1,10,Annually,36–45
58,1,Clothing,29,Spring,3.6,1,1,26,Weekly,56–65
32,1,Footwear,33,Spring,3.0,1,1,40,Fortnightly,26–35
46,1,Clothing,32,Summer,4.5,1,1,34,Fortnightly,46–55
39,1,Accessories,56,Summer,2.9,1,1,31,Annually,36–45
19,1,Footwear,94,Spring,3.3,1,1,1,Bi-Weekly,18–25
50,1,Clothing,53,Spring,3.1,1,1,5,Bi-Weekly,46–55
36,1,Clothing,82,Fall,4.4,1,1,4,Weekly,36–45
65,1,Outerwear,70,Fall,3.0,1,1,48,Quarterly,65+
64,1,Accessories,76,Fall,3.9,1,1,29,Every 3 Months,56–65
46,1,Footwear,29,Summer,2.9,1,1,12,Bi-Weekly,46–55
36,1,Accessories,100,Fall,3.0,1,1,29,Annually,36–45
51,1,Accessories,94,Spring,3.1,1,1,15,Quarterly,46–55
51,1,Outerwear,25,Fall,4.3,1,1,34,Monthly,46–55
38,1,Footwear,88,Summer,3.9,1,1,41,Fortnightly,36–45
59,1,Accessories,78,Fall,3.2,1,1,41,Monthly,56–65
57,1,Accessories,45,Winter,4.8,1,1,39,Fortnightly,56–65
54,1,Accessories,73,Summer,3.8,1,1,32,Weekly,46–55
25,1,Clothing,61,Summer,3.3,1,1,29,Monthly,26–35
69,1,Clothing,22,Fall,4.3,1,1,15,Annually,65+
57,1,Accessories,38,Spring,2.7,1,1,33,Annually,56–65
